Name,Speed,Module,First Word Latency,CAS Latency,Color,Rating,Review Count,Raw_Price,Date,DDR_Type,Total_GB,Clean_Price,Price_Per_GB
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$352.07,2018-01-01,DDR4,32,352.07,11.0021875
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$354.15,2018-02-01,DDR4,32,354.15,11.0671875
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$356.24,2018-03-01,DDR4,32,356.24,11.1325
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$358.32,2018-04-01,DDR4,32,358.32,11.1975
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$360.40,2018-05-01,DDR4,32,360.4,11.2625
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$362.49,2018-06-01,DDR4,32,362.49,11.3278125
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$364.57,2018-07-01,DDR4,32,364.57,11.3928125
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$366.65,2018-08-01,DDR4,32,366.65,11.4578125
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$368.74,2018-09-01,DDR4,32,368.74,11.523125
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$370.82,2018-10-01,DDR4,32,370.82,11.588125
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$372.90,2018-11-01,DDR4,32,372.9,11.653125
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$374.99,2018-12-01,DDR4,32,374.99,11.7184375
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$312.49,2019-01-01,DDR4,32,312.49,9.7653125
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$299.99,2019-02-01,DDR4,32,299.99,9.3746875
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$287.49,2019-03-01,DDR4,32,287.49,8.9840625
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$274.99,2019-04-01,DDR4,32,274.99,8.5934375
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$262.49,2019-05-01,DDR4,32,262.49,8.2028125
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$249.99,2019-06-01,DDR4,32,249.99,7.8121875
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$237.49,2019-07-01,DDR4,32,237.49,7.4215625
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$224.99,2019-08-01,DDR4,32,224.99,7.0309375
ADATA XPG GAMMIX D20 32 GB,DDR4-3200,2 x 16GB,10 ns,16,Black / Silver,5.0,1,$212.49,2019-09-01,DDR4,32,212.49,6.6403125
